#Identifiant_A;Identifiant_R;Libellé_du_site;Adresse;Complément_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Libellé_du_type_d_automate;Nb_automtate_par_type;Type_de_distributeur_DAB;geoloc
12718A;679280;STRASBOURG NEUDORF;87 ROUTE DU POLYGONE;;;67100;STRASBOURG;67482;FRANCE;NBC1I NABANCO IER;1;;48.566444,7.758681
12719A;679290;STRASBOURG NEUHOF BP;4 RUE RICHSHOFFER;;;67100;STRASBOURG;67482;FRANCE;CPT BILLET;1;;48.536044,7.77168
12720A;679300;STRASBOURG PL CATHEDRALE BP;5 PLACE DU CHATEAU;;;67000;STRASBOURG;67482;FRANCE;DAB;1;Interne;48.581108,7.750893
12722A;679320;STRASBOURG PL HALLES BP;24 PLACE DES HALLES;CENTRE COMMERCIAL DES HALLES;;67000;STRASBOURG;67482;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;48.587398,7.742059
12722A;679320;STRASBOURG PL HALLES BP;24 PLACE DES HALLES;CENTRE COMMERCIAL DES HALLES;;67000;STRASBOURG;67482;FRANCE;CPT BILLET;2;;48.587398,7.742059
12722A;679320;STRASBOURG PL HALLES BP;24 PLACE DES HALLES;CENTRE COMMERCIAL DES HALLES;;67000;STRASBOURG;67482;FRANCE;NBC1I NABANCO IER;2;;48.587398,7.742059
12723A;679330;STRASBOURG ROBERTSAU BP;58 RUE BOECKLIN;;;67000;STRASBOURG;67482;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;48.600334,7.780395
12723A;679330;STRASBOURG ROBERTSAU BP;58 RUE BOECKLIN;;;67000;STRASBOURG;67482;FRANCE;LISA 2;1;;48.600334,7.780395
12725A;679350;STRASBOURG 2 RIVES BP;10 12 RUE ABBE FRANCOIS XAVIER SCHERER;;;67000;STRASBOURG;67482;FRANCE;DAB;1;Interne;48.572121,7.794851
12729A;679530;STRASBOURG LIZE BP;3 RUE DE HAUTEFORT;;;67100;STRASBOURG;67482;FRANCE;URNE;1;;48.54916,7.768691
12730A;679540;STRASBOURG EINSTEIN BP;98 RUE DE HOCHFELDEN;;;67200;STRASBOURG;67482;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;48.602287,7.722579
12730A;679540;STRASBOURG EINSTEIN BP;98 RUE DE HOCHFELDEN;;;67200;STRASBOURG;67482;FRANCE;CPT BILLET;1;;48.602287,7.722579
12732A;679600;STRASBOURG MUSAU BP;92 AVENUE JEAN JAURES;;;67100;STRASBOURG;67482;FRANCE;DAB;1;Externe;48.566981,7.772471
12732A;679600;STRASBOURG MUSAU BP;92 AVENUE JEAN JAURES;;;67100;STRASBOURG;67482;FRANCE;DAB;1;Interne;48.566981,7.772471
12732A;679600;STRASBOURG MUSAU BP;92 AVENUE JEAN JAURES;;;67100;STRASBOURG;67482;FRANCE;URNE;1;;48.566981,7.772471
12733A;679610;STRASBOURG ESPLANADE BP;27 AVENUE DU GENERAL DE GAULLE;;;67000;STRASBOURG;67482;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;48.577999,7.769514
12733A;679610;STRASBOURG ESPLANADE BP;27 AVENUE DU GENERAL DE GAULLE;;;67000;STRASBOURG;67482;FRANCE;NBC1I NABANCO IER;1;;48.577999,7.769514
12734A;679620;STRASBOURG HAUTEPIERRE;11 PLACE ANDRE MAUROIS;CENTRE COMMERCIAL AUCHAN;;67200;STRASBOURG;67482;FRANCE;DAB;3;Interne;48.590785,7.697303
12734A;679620;STRASBOURG HAUTEPIERRE;11 PLACE ANDRE MAUROIS;CENTRE COMMERCIAL AUCHAN;;67200;STRASBOURG;67482;FRANCE;NBC1I NABANCO IER;2;;48.590785,7.697303
12738A;680010;VOLGELSHEIM BP;PLACE DE L EUROPE;;;68600;VOLGELSHEIM;68352;FRANCE;DAB;1;Externe;48.014601,7.547223
12739A;680030;MULHOUSE REUNION BP;2 RUE MERCIERE;;;68100;MULHOUSE;68224;FRANCE;CPT BILLET;1;;47.746932,7.33946
12739A;680030;MULHOUSE REUNION BP;2 RUE MERCIERE;;;68100;MULHOUSE;68224;FRANCE;DAB;1;Externe;47.746932,7.33946
12740A;680040;ALTKIRCH;9 RUE JEAN JACQUES HENNER;;;68130;ALTKIRCH;68004;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;47.623123,7.238794
12740A;680040;ALTKIRCH;9 RUE JEAN JACQUES HENNER;;;68130;ALTKIRCH;68004;FRANCE;CPT BILLET;1;;47.623123,7.238794
12740A;680040;ALTKIRCH;9 RUE JEAN JACQUES HENNER;;;68130;ALTKIRCH;68004;FRANCE;DAB;1;Externe;47.623123,7.238794
12740A;680040;ALTKIRCH;9 RUE JEAN JACQUES HENNER;;;68130;ALTKIRCH;68004;FRANCE;LISA 2;1;;47.623123,7.238794
12743A;680090;MULHOUSE PORTE DU MIROIR BP;10 RUE DES RABBINS;;;68100;MULHOUSE;68224;FRANCE;CPT BILLET;1;;47.744226,7.333017
12769A;680660;COLMAR CHAMP DE MARS;34 AVENUE DE LA REPUBLIQUE;;;68000;COLMAR;68066;FRANCE;CPT BILLET;1;;48.07595,7.351599
12769A;680660;COLMAR CHAMP DE MARS;34 AVENUE DE LA REPUBLIQUE;;;68000;COLMAR;68066;FRANCE;DAB;1;;48.07595,7.351599
12769A;680660;COLMAR CHAMP DE MARS;34 AVENUE DE LA REPUBLIQUE;;;68000;COLMAR;68066;FRANCE;DISTRIB PAP;1;;48.07595,7.351599
12770A;680680;DANNEMARIE BP;5 RUE DE L HOPITAL;;;68210;DANNEMARIE;68068;FRANCE;CPT BILLET;1;;47.629714,7.121963
12785A;681040;MULHOUSE VAUBAN BP;45 RUE VAUBAN;;;68100;MULHOUSE;68224;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;47.757705,7.340347
12789A;681120;GUEBWILLER;70 RUE DE LA REPUBLIQUE;;;68500;GUEBWILLER;68112;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;47.908889,7.211777
12789A;681120;GUEBWILLER;70 RUE DE LA REPUBLIQUE;;;68500;GUEBWILLER;68112;FRANCE;DAB;1;Externe;47.908889,7.211777
15759A;831490;VILLECROZE BP;ROUTE D AUPS;;;83690;VILLECROZE;83149;FRANCE;CPT BILLET;1;;43.583783,6.272168
15759A;831490;VILLECROZE BP;ROUTE D AUPS;;;83690;VILLECROZE;83149;FRANCE;DAB;1;Externe;43.583783,6.272168
15763A;831530;SAINT MANDRIER SUR MER BP;RUE ANATOLE FRANCE;;;83430;ST MANDRIER SUR MER;83153;FRANCE;CPT BILLET;1;;43.076532,5.928871
15763A;831530;SAINT MANDRIER SUR MER BP;RUE ANATOLE FRANCE;;;83430;ST MANDRIER SUR MER;83153;FRANCE;NBC1I NABANCO IER;1;;43.076532,5.928871
15788A;839250;SAINT AYGULF BP;801 AVENUE LOUIS CASTILLON;;;83370;ST AYGULF;83061;FRANCE;DAB;1;Externe;43.385233,6.722102
15798A;839350;LA CAPTE BP;1945 ROUTE DE GIENS;;LA CAPTE;83400;HYERES;83069;FRANCE;CPT BILLET;1;;43.064896,6.147365
15798A;839350;LA CAPTE BP;1945 ROUTE DE GIENS;;LA CAPTE;83400;HYERES;83069;FRANCE;NBC1I NABANCO IER;1;;43.064896,6.147365
15806A;839590;FREJUS PLAGE BP;PLACE DE LA REPUBLIQUE;;;83600;FREJUS;83061;FRANCE;DAB;2;Externe;43.424237,6.75686
15806A;839590;FREJUS PLAGE BP;PLACE DE LA REPUBLIQUE;;;83600;FREJUS;83061;FRANCE;NBC1I NABANCO IER;1;;43.424237,6.75686
15814A;839700;DRAGUIGNAN CHABRAN BP;AVENUE DE LA 1 ERE ARMEE;RESIDENCE ESPACE EURO;;83300;DRAGUIGNAN;83050;FRANCE;DAB;1;Interne;43.532089,6.472167
15820A;839780;HYERES HOTEL DE VILLE BP;4 AVENUE JOSEPH CLOTIS;;;83400;HYERES;83069;FRANCE;NBC1I NABANCO IER;1;;43.119781,6.129001
15822A;839820;TOULON LIBERTE;RUE PROSPER FERRERO;;;83000;TOULON;83137;FRANCE;NAB1I NABUCCO IER;2;;43.12454,5.930024
15822A;839820;TOULON LIBERTE;RUE PROSPER FERRERO;;;83000;TOULON;83137;FRANCE;NBC1I NABANCO IER;5;;43.12454,5.930024
15823A;839830;LA SEYNE SUR MER BERTHE BP;PLACE SAINT JEAN;L AVANT SEYNE;;83500;LA SEYNE SUR MER;83126;FRANCE;DAB;3;Interne;43.111728,5.86589
15823A;839830;LA SEYNE SUR MER BERTHE BP;PLACE SAINT JEAN;L AVANT SEYNE;;83500;LA SEYNE SUR MER;83126;FRANCE;URNE;1;;43.111728,5.86589
15827A;840030;APT;105 AVENUE VICTOR HUGO;;;84400;APT;84003;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;43.877034,5.391859
15830A;840070;AVIGNON REPUBLIQUE;4 COURS DU PRESIDENT KENNEDY;;;84000;AVIGNON;84007;FRANCE;NBC1I NABANCO IER;1;;43.943191,4.803767
15830A;840070;AVIGNON REPUBLIQUE;4 COURS DU PRESIDENT KENNEDY;;;84000;AVIGNON;84007;FRANCE;SCA1M AUTOMATE CHEQUE MONEYLINE;1;;43.943191,4.803767
15834A;840120;BEAUMES DE VENISE BP;114 PLACE DU MARCHE;;;84190;BEAUMES DE VENISE;84012;FRANCE;URNE;1;;44.120731,5.027689
15838A;840170;BEDOIN BP;22 RUE DE LA POSTE;;;84410;BEDOIN;84017;FRANCE;NBC1I NABANCO IER;1;;44.122706,5.180198
15840A;840190;BOLLENE;BOULEVARD LEON GAMBETTA;;;84500;BOLLENE;84019;FRANCE;CPT BILLET;1;;44.279873,4.746142
15840A;840190;BOLLENE;BOULEVARD LEON GAMBETTA;;;84500;BOLLENE;84019;FRANCE;NBC1I NABANCO IER;1;;44.279873,4.746142
15841A;840200;BONNIEUX BP;AVENUE DES TILLEULS;;;84480;BONNIEUX;84020;FRANCE;CPT BILLET;1;;43.824933,5.30854
15847A;840260;CADENET BP;7 COURS VOLTAIRE;;;84160;CADENET;84026;FRANCE;CPT BILLET;1;;43.736245,5.374523
15852A;840310;CARPENTRAS;70 RUE D INGUIMBERT;;;84200;CARPENTRAS;84031;FRANCE;DAB;1;Externe;44.054873,5.048247
15852A;840310;CARPENTRAS;70 RUE D INGUIMBERT;;;84200;CARPENTRAS;84031;FRANCE;NAB1I NABUCCO IER;1;;44.054873,5.048247
15855A;840340;CAUMONT SUR DURANCE BP;PLACE DU MARCHE AUX RAISINS;;;84510;CAUMONT SUR DURANCE;84034;FRANCE;LISA 2;1;;43.893431,4.948985
15856A;840350;CAVAILLON;55 PLACE DU CLOS;;;84300;CAVAILLON;84035;FRANCE;CHANGEUR MONNAIE;1;;43.834691,5.03579
15856A;840350;CAVAILLON;55 PLACE DU CLOS;;;84300;CAVAILLON;84035;FRANCE;DAB;1;Externe;43.834691,5.03579
15856A;840350;CAVAILLON;55 PLACE DU CLOS;;;84300;CAVAILLON;84035;FRANCE;LISA 2;1;;43.834691,5.03579
15862A;840420;CUCURON BP;55 PLACE DE L ETANG;;;84160;CUCURON;84042;FRANCE;URNE;1;;43.773968,5.438924
15863A;840430;ENTRAIGUES SUR LA SORGUE BP;7 PLACE DU BEAL;;;84320;ENTRAIGUES SUR LA SORGUE;84043;FRANCE;URNE;1;;44.004163,4.927252
15868A;840480;AVIGNON SAINT JEAN BP;1 AVENUE DE WETZLAR;QUARTIER SAINT JEAN;;84000;AVIGNON;84007;FRANCE;CPT BILLET;1;;43.946211,4.828423
15874A;840540;L ISLE SUR LA SORGUE;AVENUE DES QUATRE OTAGES;;;84800;L ISLE SUR LA SORGUE;84054;FRANCE;NAB1I NABUCCO IER;1;;43.918594,5.054414
15881A;840640;LAPALUD BP;COURS DES PLATANES;;;84840;LAPALUD;84064;FRANCE;CPT BILLET;1;;44.304978,4.687075
15888A;840720;MAZAN BP;AVENUE DE L EUROPE;;;84380;MAZAN;84072;FRANCE;URNE;1;;44.057479,5.128278
15895A;840800;MONTEUX;23 PLACE DES DROITS DE L HOMME;;;84170;MONTEUX;84080;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;44.034253,4.994922
15895A;840800;MONTEUX;23 PLACE DES DROITS DE L HOMME;;;84170;MONTEUX;84080;FRANCE;CPT BILLET;1;;44.034253,4.994922
15895A;840800;MONTEUX;23 PLACE DES DROITS DE L HOMME;;;84170;MONTEUX;84080;FRANCE;URNE;1;;44.034253,4.994922
15896A;840810;MORIERES LES AVIGNON BP;PLACE DE LA LIBERTE;;;84310;MORIERES LES AVIGNON;84081;FRANCE;CHANGEUR MONNAIE;1;;43.941678,4.905878
15897A;840820;MORMOIRON BP;2 PLACE DE LA POSTE;;;84570;MORMOIRON;84082;FRANCE;URNE;1;;44.072676,5.191441
15907A;840920;LE PONTET;PLACE JOSEPH THOMAS;;;84130;LE PONTET;84092;FRANCE;DAB;1;Externe;43.962358,4.860128
15907A;840920;LE PONTET;PLACE JOSEPH THOMAS;;;84130;LE PONTET;84092;FRANCE;DAB;1;Interne;43.962358,4.860128
15926A;841220;SARRIANS BP;49 AVENUE JEAN GIONO;;;84260;SARRIANS;84122;FRANCE;DAB;1;Externe;44.0825,4.968401
15930A;841290;SORGUES;63 AVENUE DU 11 NOVEMBRE 1918;;;84700;SORGUES;84129;FRANCE;URNE;1;;44.008385,4.873389
15932A;841320;LE THOR BP;3 PLACE DU MARCHE;;;84250;LE THOR;84132;FRANCE;NBC1I NABANCO IER;1;;43.928505,4.994805
15937A;841370;VAISON LA ROMAINE;PLACE DU 11 NOVEMBRE;;;84110;VAISON LA ROMAINE;84137;FRANCE;CPT BILLET;2;;44.242456,5.076276
15937A;841370;VAISON LA ROMAINE;PLACE DU 11 NOVEMBRE;;;84110;VAISON LA ROMAINE;84137;FRANCE;DAB;1;Externe;44.242456,5.076276
15937A;841370;VAISON LA ROMAINE;PLACE DU 11 NOVEMBRE;;;84110;VAISON LA ROMAINE;84137;FRANCE;NAB1I NABUCCO IER;1;;44.242456,5.076276
15937A;841370;VAISON LA ROMAINE;PLACE DU 11 NOVEMBRE;;;84110;VAISON LA ROMAINE;84137;FRANCE;NBC1I NABANCO IER;1;;44.242456,5.076276
15938A;841380;VALREAS BP;PLACE ARISTIDE BRIAND;;;84600;VALREAS;84138;FRANCE;CPT BILLET;1;;44.383315,4.990421
15938A;841380;VALREAS BP;PLACE ARISTIDE BRIAND;;;84600;VALREAS;84138;FRANCE;NAB1I NABUCCO IER;1;;44.383315,4.990421
15940A;841410;VEDENE BP;22 PLACE DU PETIT PONT;;;84270;VEDENE;84141;FRANCE;URNE;1;;43.979483,4.905716
15941A;841420;VELLERON BP;43 PLACE DE LA POSTE;;;84740;VELLERON;84142;FRANCE;CPT BILLET;1;;43.956537,5.030222
15959A;849200;AVIGNON PLACE PIE BP;2 RUE DE LA PETITE MEUSE;;;84000;AVIGNON;84007;FRANCE;LISA 2;2;;43.947922,4.809901
15967A;849450;AVIGNON BP 1 BP;CENTRE COMMERCIAL MISTRAL 7;;;84000;AVIGNON;84007;FRANCE;NBC1I NABANCO IER;1;;43.945766,4.806561
15986A;850180;BEAUVOIR SUR MER BP;13 GRAND PLACE;;;85230;BEAUVOIR SUR MER;85018;FRANCE;CPT BILLET;1;;46.915881,-2.043593
15987A;850190;BELLEVILLE SUR VIE BP;5 RUE DU STADE;;BELLEVILLE SUR VIE;85170;BELLEVIGNY;85019;FRANCE;NBC1I NABANCO IER;1;;46.780759,-1.42941
15996A;850350;BRETIGNOLLES SUR MER BP;2 AVENUE DE VERDUN;;;85470;BRETIGNOLLES SUR MER;85035;FRANCE;URNE;1;;46.627632,-1.85726
16007A;850510;CHANTONNAY;15 PLACE DE LA LIBERTE;;;85110;CHANTONNAY;85051;FRANCE;CPT BILLET;1;;46.687636,-1.051232
16009A;850590;LA CHATAIGNERAIE BP;28 RUE DE LA REPUBLIQUE;;;85120;LA CHATAIGNERAIE;85059;FRANCE;CPT BILLET;1;;46.649811,-0.740332
16009A;850590;LA CHATAIGNERAIE BP;28 RUE DE LA REPUBLIQUE;;;85120;LA CHATAIGNERAIE;85059;FRANCE;LISA 2;1;;46.649811,-0.740332
16043A;851090;LES HERBIERS;25 PLACE DES DROITS DE L HOMME;;;85500;LES HERBIERS;85109;FRANCE;DAB;1;Externe;46.87103,-1.010591
16046A;851130;L ILE D YEU BP;20 QUAI DE LA CHAPELLE;;;85350;L ILE D YEU;85113;FRANCE;CHANGEUR MONNAIE;1;;46.727923,-2.35201
16054A;851280;LUCON;7 PLACE EDOUARD HERRIOT;;;85400;LUCON;85128;FRANCE;DAB;1;Externe;46.454915,-1.168305
16066A;851460;MONTAIGU;2 RUE DE LA BRECHE;;;85600;MONTAIGU;85146;FRANCE;CPT BILLET;1;;46.977552,-1.310337
16069A;851520;LA MOTHE ACHARD BP;77 AVENUE GEORGES CLEMENCEAU;;;85150;LA MOTHE ACHARD;85152;FRANCE;URNE;1;;46.616906,-1.658365
16082A;851660;OLONNE SUR MER BP;283 AVENUE FRANCOIS MITTERRAND;;;85340;OLONNE SUR MER;85166;FRANCE;LISA 2;1;;46.531761,-1.77411
16097A;851940;LES SABLES D OLONNE;1 RUE DU GENERAL HAXO;;;85100;LES SABLES D OLONNE;85194;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;46.500481,-1.783383
16097A;851940;LES SABLES D OLONNE;1 RUE DU GENERAL HAXO;;;85100;LES SABLES D OLONNE;85194;FRANCE;URNE;1;;46.500481,-1.783383
16113A;852220;SAINT GILLES CROIX DE VIE;9 QUAI GORIN;;;85800;ST GILLES CROIX DE VIE;85222;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;46.696711,-1.936797
16113A;852220;SAINT GILLES CROIX DE VIE;9 QUAI GORIN;;;85800;ST GILLES CROIX DE VIE;85222;FRANCE;DAB;1;Externe;46.696711,-1.936797
16113A;852220;SAINT GILLES CROIX DE VIE;9 QUAI GORIN;;;85800;ST GILLES CROIX DE VIE;85222;FRANCE;NAB1W NABUCCO WINCOR;1;;46.696711,-1.936797
16116A;852260;SAINT HILAIRE DE RIEZ BP;PLACE FRANCOIS MITTERRAND;;;85270;ST HILAIRE DE RIEZ;85226;FRANCE;CPT BILLET;1;;46.725658,-1.947479
16116A;852260;SAINT HILAIRE DE RIEZ BP;PLACE FRANCOIS MITTERRAND;;;85270;ST HILAIRE DE RIEZ;85226;FRANCE;URNE;1;;46.725658,-1.947479
16119A;852340;SAINT JEAN DE MONTS;33 RUE DE LA PLAGE;;;85160;ST JEAN DE MONTS;85234;FRANCE;LISA 2;2;;46.790749,-2.063888
16141A;852880;TALMONT SAINT HILAIRE BP;13 RUE NATIONALE;;;85440;TALMONT ST HILAIRE;85288;FRANCE;CPT BILLET;1;;46.465253,-1.617081
16144A;852940;LA TRANCHE SUR MER;35 AVENUE VICTOR HUGO;;;85360;LA TRANCHE SUR MER;85294;FRANCE;LISA 2;1;;46.344537,-1.436712
16166A;859270;ST HILAIRE DE RIEZ SION BP;13 RUE DU MARCHE;;SION SUR L OCEAN;85270;ST HILAIRE DE RIEZ;85226;FRANCE;DAB;1;Externe;46.710689,-1.979178
16169A;859390;LA ROCHE SUR YON LA GARENNE BP;2 RUE D IENA;;;85000;LA ROCHE SUR YON;85191;FRANCE;URNE;1;;46.679651,-1.423235
16201A;860410;BUXEROLLES BP;6 RUE DE L HOTEL DE VILLE;;;86180;BUXEROLLES;86041;FRANCE;CHANGEUR MONNAIE;1;;46.597771,0.351818
16201A;860410;BUXEROLLES BP;6 RUE DE L HOTEL DE VILLE;;;86180;BUXEROLLES;86041;FRANCE;CPT BILLET;1;;46.597771,0.351818
16201A;860410;BUXEROLLES BP;6 RUE DE L HOTEL DE VILLE;;;86180;BUXEROLLES;86041;FRANCE;DAB;1;Interne;46.597771,0.351818
11981A;639210;CLERMONT FERRAND PLACE GAILLARD;2 PLACE GILBERT GAILLARD;;;63000;CLERMONT FERRAND;63113;FRANCE;DAB;2;Interne;45.780327,3.082474
11983A;639230;CLERMONT FERRAND SAINT JACQUES BP;24 RUE DES PLATS;;;63000;CLERMONT FERRAND;63113;FRANCE;LISA 2;1;;45.765925,3.093358
11995A;639640;CLERMONT FERRAND NEYRAT;5 RUE DU TORPILLEUR SIROCCO;;;63100;CLERMONT FERRAND;63113;FRANCE;NBC1I NABANCO IER;1;;45.815459,3.107162
11997A;639710;CLERMONT FERRAND L ORADOU;201 RUE DE L ORADOU;;;63000;CLERMONT FERRAND;63113;FRANCE;DAB;1;Interne;45.769018,3.11667
12003A;640100;PAU VERDUN BP;16 RUE DE LIEGE;;;64000;PAU;64445;FRANCE;DAB;1;Externe;43.297933,-0.374646
12004A;640110;BIARRITZ SAINT MARTIN BP;40 AVENUE DU PRESIDENT KENNEDY;;;64200;BIARRITZ;64122;FRANCE;CHANGEUR MONNAIE;1;;43.468465,-1.554145
12004A;640110;BIARRITZ SAINT MARTIN BP;40 AVENUE DU PRESIDENT KENNEDY;;;64200;BIARRITZ;64122;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;43.468465,-1.554145
12008A;640240;ANGLET;7 RUE DU 8 MAI;;;64600;ANGLET;64024;FRANCE;LISA 2;1;;43.482582,-1.515756
12033A;641220;BIARRITZ;17 RUE DE LA POSTE;;;64200;BIARRITZ;64122;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;2;;43.480869,-1.560316
12033A;641220;BIARRITZ;17 RUE DE LA POSTE;;;64200;BIARRITZ;64122;FRANCE;URNE;1;;43.480869,-1.560316
12048A;641890;CIBOURE BP;3 QUAI MAURICE RAVEL;;;64500;CIBOURE;64189;FRANCE;LISA 2;1;;43.384493,-1.666856
12048A;641890;CIBOURE BP;3 QUAI MAURICE RAVEL;;;64500;CIBOURE;64189;FRANCE;URNE;1;;43.384493,-1.666856
12055D;750338;BP-PARIS MACDONALD BP;201 BOULEVARD MACDONALD;;;75019;PARIS;75119;FRANCE;DAB;2;Interne;48.898703,2.372892
12066A;642560;HASPARREN BP;2 PLACE VERDUN;;;64240;HASPARREN;64256;FRANCE;DAB;1;Externe;43.383898,-1.304824
12072A;642840;JURANCON;4 AVENUE CHARLES DE GAULLE;;;64110;JURANCON;64284;FRANCE;DAB;1;Externe;43.287413,-0.390562
12101A;644050;MORLAAS;PLACE SAINTE FOY;;;64160;MORLAAS;64405;FRANCE;DAB;1;Externe;43.344911,-0.263218
12105A;644100;MOURENX BP;1 RUE RAOUL FOLLEREAU;;;64150;MOURENX;64410;FRANCE;CHANGEUR MONNAIE;1;;43.371224,-0.63239
12105A;644100;MOURENX BP;1 RUE RAOUL FOLLEREAU;;;64150;MOURENX;64410;FRANCE;LISA 2;1;;43.371224,-0.63239
12110A;644220;OLORON STE MARIE;PLACE DU GENERAL DE GAULLE;;;64400;OLORON STE MARIE;64422;FRANCE;CPT BILLET;1;;43.191937,-0.609224
12110A;644220;OLORON STE MARIE;PLACE DU GENERAL DE GAULLE;;;64400;OLORON STE MARIE;64422;FRANCE;NAB1I NABUCCO IER;1;;43.191937,-0.609224
12115A;644450;PAU BOSQUET;14 RUE GAMBETTA;;;64000;PAU;64445;FRANCE;DAB;1;Externe;43.296889,-0.366316
12809A;681540;ILLZACH;4 RUE DE MODENHEIM;;;68110;ILLZACH;68154;FRANCE;CPT BILLET;1;;47.781179,7.34874
12809A;681540;ILLZACH;4 RUE DE MODENHEIM;;;68110;ILLZACH;68154;FRANCE;DAB;1;Interne;47.781179,7.34874
12809A;681540;ILLZACH;4 RUE DE MODENHEIM;;;68110;ILLZACH;68154;FRANCE;NAB1W NABUCCO WINCOR;1;;47.781179,7.34874
12809A;681540;ILLZACH;4 RUE DE MODENHEIM;;;68110;ILLZACH;68154;FRANCE;NBC1I NABANCO IER;1;;47.781179,7.34874
12839A;682240;MULHOUSE HENNER;3 PLACE DU GENERAL DE GAULLE;;;68100;MULHOUSE;68224;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;47.744221,7.343906
12839A;682240;MULHOUSE HENNER;3 PLACE DU GENERAL DE GAULLE;;;68100;MULHOUSE;68224;FRANCE;DAB;1;Externe;47.744221,7.343906
12839A;682240;MULHOUSE HENNER;3 PLACE DU GENERAL DE GAULLE;;;68100;MULHOUSE;68224;FRANCE;DAB;1;Interne;47.744221,7.343906
12841A;682260;MUNSTER BP;15 RUE DE LA REPUBLIQUE;;;68140;MUNSTER;68226;FRANCE;CPT BILLET;1;;48.040658,7.139143
12852A;682530;OTTMARSHEIM BP;1 RUE DU GENERAL DE GAULLE;;;68490;OTTMARSHEIM;68253;FRANCE;CPT BILLET;1;;47.784864,7.504948
12859A;682690;RIBEAUVILLE;1 RUE JEAN BAPTISTE WENDLING;;;68150;RIBEAUVILLE;68269;FRANCE;LISA 2;1;;48.191015,7.325592
12860A;682700;RICHWILLER BP;90 RUE PRINCIPALE;;;68120;RICHWILLER;68270;FRANCE;CPT BILLET;1;;47.780195,7.278585
12861A;682710;RIEDISHEIM BP;1 RUE BARTHOLDI;;;68400;RIEDISHEIM;68271;FRANCE;CMI2R PHOTOCOPIEUR MULTIFONC RICOH;1;;47.743804,7.365575
12862A;682770;RIQUEWIHR BP;2 PLACE FERNAND ZEYER;;;68340;RIQUEWIHR;68277;FRANCE;DAB;1;Externe;48.165963,7.299694
12863A;682780;RIXHEIM BP;22 RUE ZUBER;;;68170;RIXHEIM;68278;FRANCE;CPT BILLET;1;;47.744408,7.39789
12863A;682780;RIXHEIM BP;22 RUE ZUBER;;;68170;RIXHEIM;68278;FRANCE;NBC1I NABANCO IER;1;;47.744408,7.39789
12873A;682970;SAINT LOUIS;6 RUE DE HUNINGUE;;;68300;ST LOUIS;68297;FRANCE;CPT BILLET;1;;47.586418,7.564722
12873A;682970;SAINT LOUIS;6 RUE DE HUNINGUE;;;68300;ST LOUIS;68297;FRANCE;NAB1W NABUCCO WINCOR;1;;47.586418,7.564722
12888A;683340;THANN;46 RUE DU GENERAL DE GAULLE;;;68800;THANN;68334;FRANCE;NBC1I NABANCO IER;1;;47.808151,7.107037
12907A;683760;WITTENHEIM BP;12 RUE DE SAINT CLOUD;;;68270;WITTENHEIM;68376;FRANCE;NBC1I NABANCO IER;1;;47.811274,7.337032
12914A;689210;COLMAR NORD BP;21 RUE DU NORD;;;68000;COLMAR;68066;FRANCE;DAB;1;Externe;48.080343,7.360558
12914A;689210;COLMAR NORD BP;21 RUE DU NORD;;;68000;COLMAR;68066;FRANCE;NBC1I NABANCO IER;1;;48.080343,7.360558
12914A;689210;COLMAR NORD BP;21 RUE DU NORD;;;68000;COLMAR;68066;FRANCE;URNE;1;;48.080343,7.360558
12915A;689220;MULHOUSE BOURTZWILLER BP;2 RUE DE GUNSBACH;;;68200;MULHOUSE;68224;FRANCE;NBC1I NABANCO IER;1;;47.768583,7.321618
12919A;689300;LOGELBACH BP;1 RUE ADOLPHE HIRN;;;68124;LOGELBACH;68374;FRANCE;NBC1I NABANCO IER;1;;48.086925,7.319955
12920B;203780;BASTIA CAISSE CENTRALE DE CORSE AFT;AVENUE MARECHAL SEBASTIANI;;;20200;BASTIA;2B033;FRANCE;CPT BILLET;2;;42.702438,9.4495
12921A;689330;MULHOUSE BOULEVARD DE L EUROPE;7 BOULEVARD DE L EUROPE;;;68100;MULHOUSE;68224;FRANCE;CHANGEUR MONNAIE;1;;47.750677,7.341814
12921A;689330;MULHOUSE BOULEVARD DE L EUROPE;7 BOULEVARD DE L EUROPE;;;68100;MULHOUSE;68224;FRANCE;LISA 2;2;;47.750677,7.341814
